price,rating,review_count,review_sentiment,review_subjectivity,title_length,word_count,brand_CHERRY,brand_CLAVIER,brand_CORSAIR,brand_GLORIOUS,brand_LOGITECH,brand_MARS,brand_OTHER,brand_RAZER,brand_STEELSERIES,brand_THE,brand_TRUST,is_mechanical,is_wireless,is_rgb,is_azerty,price_log,is_successful
59.99,4.6,5978,0.11081585081585088,0.43809523809523815,133,21,False,False,False,False,False,False,False,False,True,False,False,0,0,0,1,4.110709916308365,1
24.95,4.275574712643678,0,0.0,0.0,133,19,False,False,False,False,False,False,True,False,False,False,False,1,0,1,0,3.2561716096118976,0
80.87,4.2,86,0.1513157894736842,0.0,191,35,False,False,True,False,False,False,False,False,False,False,False,1,0,1,1,4.405132623388357,1
32.99,4.2,344,0.24999999999999997,1.0,185,29,False,False,False,False,False,False,False,False,False,True,False,1,0,1,1,3.5260663637080247,1
24.95,4.0,5,0.0,0.0,173,27,False,False,False,False,False,False,True,False,False,False,False,1,0,0,0,3.2561716096118976,0
17.99,4.275574712643678,0,0.0,0.0,184,28,False,False,False,False,False,False,True,False,False,False,False,1,0,1,0,2.9439125248241944,0
39.99,4.4,137,0.26666666666666666,0.0,191,34,False,False,False,False,False,False,False,False,False,True,False,0,0,1,1,3.7133281345162463,1
59.99,4.6,5978,0.11081585081585088,0.43809523809523815,133,21,False,False,False,False,False,False,False,False,True,False,False,0,0,0,1,4.110709916308365,1
74.96,4.3,601,0.1791666666666667,0.6785714285714286,157,22,True,False,False,False,False,False,False,False,False,False,False,0,0,0,0,4.330206885944085,1
10.49,4.4,5676,0.3972727272727273,1.0,161,19,False,False,False,False,True,False,False,False,False,False,False,0,0,1,1,2.4414770918606643,1
23.28,4.1,7,0.0,0.0,166,26,False,False,False,False,False,False,False,False,False,True,False,0,0,1,0,3.1896529661912973,0
29.56,4.0,22,-0.1,0.54,154,24,False,False,False,False,False,False,True,False,False,False,False,1,0,1,0,3.4196919642983197,0
83.38,4.275574712643678,0,0.0,0.0,101,15,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,4.435330406696193,0
66.95,4.5,2252,0.2426470588235294,0.8333333333333333,173,24,False,False,False,False,False,False,True,False,False,False,False,1,1,0,0,4.218772140597153,1
140.13,4.2,269,0.49249999999999994,0.3833333333333333,92,16,False,True,False,False,False,False,False,False,False,False,False,1,0,0,0,4.949681451425915,1
68.51,4.4,75,0.24900000000000003,0.4,173,25,True,False,False,False,False,False,False,False,False,False,False,0,1,0,1,4.2414706271123945,1
60.94,4.6,14,-0.025,0.0,169,31,False,False,False,False,False,False,False,True,False,False,False,0,0,1,1,4.126166174545057,0
24.99,4.8,9,0.1,0.0,179,27,False,False,False,False,False,False,True,False,False,False,False,0,0,1,1,3.2577118486533987,0
89.84,4.275574712643678,0,0.0,0.0,151,28,False,False,False,False,False,False,False,True,False,False,False,0,1,0,1,4.5090997172373575,0
36.04,3.9,291,0.5166666666666667,0.0,196,42,False,False,False,False,False,False,True,False,False,False,False,0,0,1,0,3.6119984097779785,0
79.99,4.4,57,0.255,0.2142857142857143,193,36,False,False,True,False,False,False,False,False,False,False,False,1,1,1,1,4.3943256902608985,1
59.95,4.275574712643678,0,0.0,0.0,124,17,False,True,False,False,False,False,False,False,False,False,False,1,0,0,0,4.110053855927281,0
262.66,3.9,937,-0.55,0.0,194,31,False,False,False,False,False,False,False,True,False,False,False,1,0,0,0,5.574660394329824,0
49.9,4.0,4469,0.8,0.0,190,33,False,False,False,False,False,False,True,False,False,False,False,1,0,1,0,3.929862923556477,1
